44kmFID,Lon,Lat,AOD_Kriging,RoadLeng44km,AOD_Initial
0,126.420906,45.655025,0.443840415,39665.81585,0.423132
1,126.429947,45.694103,0.505265015,23305.87655,0.523949
2,126.588028,45.635906,0.436769378,50133.41458,0.452712
3,126.523232,45.603237,0.449063646,12575.56197,0.45876
4,126.467567,45.609604,0.453322428,13663.00917,0.45876
5,126.662094,45.707596,0.453085829,214562.1801,0.477462
6,126.652344,45.909336,0.606753273,74254.63074,0.631367
7,126.532333,45.642307,0.433557384,61247.74999,0.417957
8,126.485703,45.687752,0.496471953,99638.59205,0.505311
9,126.411888,45.615948,0.442457886,12725.72396,0.458852
10,126.438995,45.733181,0.59531566,10081.00145,0.598247
11,126.476624,45.648678,0.460420398,25023.83554,0.451025
12,126.578888,45.59684,0.398547228,73513.20869,0.385186
13,126.634529,45.590416,0.384779219,131549.0715,0.370853
14,126.606339,45.714035,0.4599472,264834.9522,0.454033
15,126.652893,45.668537,0.417998896,125817.3069,0.402125
16,126.541443,45.681374,0.447880651,129767.8575,0.422654
17,126.559708,45.75951,0.520292451,150954.6992,0
18,126.597176,45.674969,0.45758121,140235.1673,0.471705
19,126.550568,45.720444,0.490964224,192509.6295,0
20,126.45713,45.811329,0.50746328,155172.0556,0.45876
21,126.448059,45.772255,0.591230799,61359.63988,0.613278
22,126.513,45.804966,0.507023627,183936.8782,0.456247
23,126.503891,45.765896,0.536549048,72340.86474,0
24,126.494789,45.726826,0.537488674,146098.0759,0
25,126.568855,45.798576,0.565087683,152504.3266,0.620816
26,126.578018,45.837639,0.561002821,146335.6986,0.542195
27,126.466217,45.850403,0.52260512,90007.45546,0.515176
28,126.633904,45.831219,0.493647033,155365.4605,0.409634
29,126.587196,45.876705,0.608387218,135785.7048,0.585734
30,126.522125,45.844036,0.59531566,162038.9231,0.623171
31,126.596382,45.915768,0.589596854,63929.76329,0.637153
32,126.531265,45.883106,0.572315766,180010.1458,0.589352
33,126.484428,45.928551,0.502187443,21556.27696,0.49854
34,126.540413,45.922173,0.435544453,95816.29092,0.331754
35,126.475319,45.889477,0.55038218,68365.06095,0.566827
36,126.624702,45.792156,0.519786792,131703.3693,0
37,126.745773,45.577492,0.37540648,25080.02066,0.361534
38,126.690163,45.583969,0.384397242,69364.56327,0.389308
39,126.801376,45.570988,0.392721979,8178.263502,0.406838
40,126.810669,45.610035,0.35860795,27785.24255,0.349472
41,126.699371,45.623024,0.393437359,73325.20029,0.402709
42,126.755028,45.616543,0.378955465,27022.16753,0.376129
43,126.819969,45.649078,0.393838248,18760.50491,0.404811
44,126.708595,45.662079,0.397363472,88145.94067,0.392208
45,126.77356,45.694641,0.4265818,95279.60587,0.449907
46,126.717834,45.701134,0.426307203,170484.5114,0.426071
47,126.671303,45.746655,0.430119593,340538.0728,0.416284
48,126.615509,45.753098,0.445960393,342794.9166,0.41262
49,126.643707,45.629478,0.402230472,111092.4228,0.39719
50,126.76429,45.655594,0.387453056,67823.47198,0.365216
51,126.829277,45.688126,0.414899057,57020.76745,0.407787
52,126.792152,45.772739,0.442913681,81493.85973,0.425915
53,126.727081,45.740189,0.406695032,189425.7136,0.392163
54,126.838608,45.727169,0.445660999,57388.29466,0.464156
55,126.847946,45.766212,0.495152993,77036.73421,0.548459
56,126.736351,45.77924,0.415365384,90280.48778,0.360966
57,126.745628,45.818291,0.571498794,26537.1627,0.612452
58,126.754913,45.857342,0.61247208,25358.70565,0.58498
59,126.680534,45.785713,0.485076302,220221.4877,0.502743
60,126.69902,45.863823,0.61247208,46324.92181,0.676738
61,126.689774,45.824768,0.596132633,63038.96092,0.67674
62,126.801468,45.811787,0.510918172,26359.70657,0.498253
63,126.820137,45.889877,0.551199153,2905.949998,0.560047
64,126.810799,45.85083,0.557734932,11542.85152,0.561886
65,126.764221,45.896389,0.601034467,3149.229287,0.628392
66,126.64312,45.870277,0.607570246,118323.8976,0.657467
67,126.70829,45.902874,0.506649624,19902.59332,0.417932
68,126.866661,45.844296,0.468473688,17284.22402,0.460634
69,126.782852,45.733692,0.422700055,103772.6858,0.409809
70,126.8573,45.805252,0.495998755,12558.89825,0.519759
71,126.876045,45.883335,0.454508992,10240.83593,0.435775
